display  D   display_settings.c:191  debug_display_settings           [   0.10752] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10763] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.10770] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10781] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.10788] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10799] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.10806] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10817] Score is : 587
display  D   display_settings.c:191  debug_display_settings           [   0.10825] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10836] Score is : 586
display  D   display_settings.c:191  debug_display_settings           [   0.10845] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10855] Score is : 585
display  D   display_settings.c:191  debug_display_settings           [   0.10862] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10872] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.10880] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10890] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.10897] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10908] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.10916] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10927] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.10934] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10944] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.10952] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10962] Score is : 587
display  D   display_settings.c:191  debug_display_settings           [   0.10969] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10980] Score is : 586
display  D   display_settings.c:191  debug_display_settings           [   0.10987] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10997] Score is : 585
display  D   display_settings.c:191  debug_display_settings           [   0.11005] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11016] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11024] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11034] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11042] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11052] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11060] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11070] Single Buffer requirement not met.
